〔市町村別内訳〕第11表　課税標準額段階別令和６年度分所得割額等に関する調（合計）（所得割納税義務者数・課税対象所得・課税標準額・所得割額）,,,,,,,,,,,,,,,
年度,団体コード,都道府県名,団体名,表側,所得割の納税義務者数,総所得金額等,分離長期譲渡所得金額に係る所得金額,分離短期譲渡所得金額に係る所得金額,一般株式等に係る譲渡所得金額,上場株式等に係る譲渡所得金額,上場株式等に係る配当所得金額,先物取引に係る雑所得金額,課税対象所得,課税標準額,所得割額（税額控除・減免後）
,,,,,,（ア）,（イ）,（ウ）,（エ）,（オ）,（カ）,（キ）,（ア～キの計）,,
,,,,,人,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円
2024,011002,北海道,札幌市,市町村民税,"874,563 ","3,051,212,018 ","80,268,472 ","1,135,565 ","31,604,001 ","9,361,744 ","2,022,893 ","2,043,686 ","3,177,648,379 ","2,086,378,613 ","137,394,883 "
2024,011002,北海道,札幌市,道府県民税,"872,800 ","3,047,460,410 ","80,234,559 ","1,135,565 ","31,416,544 ","7,257,632 ","1,342,299 ","2,034,945 ","3,170,881,954 ","2,081,366,503 ","34,229,414 "
2024,012025,北海道,函館市,市町村民税,"97,965 ","313,055,730 ","3,295,076 ","84,808 ","4,450,181 ","1,647,935 ","179,526 ","170,819 ","322,884,075 ","205,369,509 ","10,306,571 "
2024,012025,北海道,函館市,道府県民税,"97,927 ","313,013,623 ","3,295,076 ","84,808 ","4,450,181 ","1,647,935 ","179,526 ","170,819 ","322,841,968 ","205,359,818 ","6,868,688 "
2024,012033,北海道,小樽市,市町村民税,"41,509 ","121,648,519 ","1,576,982 ","28,511 ","236,164 ","295,415 ","60,142 ","57,910 ","123,903,643 ","74,685,443 ","3,752,273 "
2024,012033,北海道,小樽市,道府県民税,"41,483 ","121,621,502 ","1,576,982 ","28,511 ","236,164 ","295,415 ","60,142 ","57,910 ","123,876,626 ","74,680,407 ","2,500,249 "
2024,012041,北海道,旭川市,市町村民税,"131,905 ","420,008,387 ","4,198,625 ","176,537 ","2,841,730 ","950,724 ","173,943 ","277,908 ","428,627,854 ","268,730,538 ","13,455,384 "
2024,012041,北海道,旭川市,道府県民税,"131,849 ","419,944,937 ","4,198,625 ","176,537 ","2,841,730 ","950,724 ","173,943 ","277,908 ","428,564,404 ","268,716,192 ","8,966,645 "
