第11表　課税標準額段階別令和６年度分所得割額等に関する調（合計）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) 総　括　表（調査表第12表）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,区　分,納　税　義　務　者　数,,,,総所得金額等,"分離長期譲渡
所得金額に係
る所得金額","分離短期譲渡
所得金額に係
る所得金額",一般株式等に係る譲渡所得等の金額,上場株式等に係る譲渡所得等の金額,"上場株式等に
係　　　　る
配当所得金額","先物取引に
係　　　る
雑所得金額",所得控除額,課税標準額,算出税額,税　　　額　　　控　　　除　　　額,,,,,,税額調整額,"配当割額
の控除額","株式等譲渡
所得割額
の控除額","定額による
特別控除額",減免税額,所　　得　　割　　額,,,,,,,
,,所得税の納税義務,,計,"左のうち
税額調整措置
に係る者",,,,,,,,,,,調整控除,配当控除,"住宅借入金等
特別税額控除",寄附金　　　　　税額控除,外国税額控除,計,,,,,,所得税の納税義務,,計,,,,,
,,あり,なし,,,,,,,,,,,,,,,,,,,,,,,,あり,なし,,,,,,
課税標準額の段階,,人,人,人,人,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,,,,,
市　　　町　　　村　　　民　　　税,   10万円以下の金額," 132,221 "," 2,393 "," 134,614 ", 2 ," 47,079,366 "," 1,553,081,228 "," 14,866,194 "," 127,321,725 "," 133,799,636 "," 12,577,677 "," 41,644,296 "," 111,962,287 "," 1,818,407,835 "," 59,011,118 "," 20,513 "," 24,406 ", 16 ," 1,567,859 "," 115,072 "," 1,727,866 ", 1 ," 292,734 "," 363,783 "," 845,985 "," 3,702 "," 55,718,133 "," 58,914 "," 55,777,047 ",,,,,
,   10万円を超え 100万円以下," 16,747,814 "," 269,192 "," 17,017,006 "," 7,943 "," 24,980,899,689 "," 816,842,861 "," 6,460,971 "," 75,194,293 "," 92,484,332 "," 15,764,793 "," 17,288,282 "," 14,966,252,169 "," 11,038,683,052 "," 674,994,101 "," 39,016,699 "," 435,454 "," 5,447,610 "," 7,272,962 "," 84,197 "," 52,256,922 "," 73,544 "," 973,379 "," 993,226 "," 135,475,620 "," 475,146 "," 481,690,720 "," 3,055,545 "," 484,746,265 ",,,,,
,  100万円  〃　 200万円 〃," 16,152,446 "," 826,873 "," 16,979,319 "," 2,349 "," 43,993,698,567 "," 706,774,252 "," 6,181,907 "," 89,285,126 "," 115,510,691 "," 17,231,955 "," 19,311,776 "," 19,145,497,158 "," 25,802,497,116 "," 1,629,866,908 "," 39,833,691 "," 989,232 "," 41,874,602 "," 37,898,287 "," 67,615 "," 120,663,427 "," 48,679 "," 1,879,095 "," 1,626,510 "," 152,784,017 "," 326,425 "," 1,322,569,905 "," 29,968,850 "," 1,352,538,755 ",,,,,
,  200万円  〃　 300万円 〃," 9,303,716 "," 874,359 "," 10,178,075 ", 34 ," 39,259,646,288 "," 483,564,028 "," 5,299,642 "," 93,886,231 "," 112,355,280 "," 14,006,828 "," 18,330,731 "," 14,327,433,568 "," 25,659,655,460 "," 1,633,282,421 "," 17,360,664 "," 1,003,749 "," 52,358,085 "," 63,952,753 "," 96,438 "," 134,771,689 "," 1,439 "," 1,823,648 "," 1,610,229 "," 108,572,824 "," 98,357 "," 1,315,422,769 "," 70,981,467 "," 1,386,404,236 ",,,,,
,  300万円  〃　 400万円 〃," 5,029,671 "," 293,375 "," 5,323,046 ", 1 ," 27,424,915,489 "," 361,896,726 "," 5,194,583 "," 114,993,254 "," 93,648,427 "," 13,259,158 "," 15,016,179 "," 9,061,962,089 "," 18,966,961,727 "," 1,206,402,544 "," 8,614,750 "," 896,810 "," 15,420,895 "," 61,602,277 "," 64,193 "," 86,598,925 ", 18 ," 1,542,233 "," 1,450,707 "," 65,796,467 "," 35,269 "," 1,010,431,463 "," 40,547,462 "," 1,050,978,925 ",,,,,
,  400万円  〃　 550万円 〃," 3,600,502 "," 17,502 "," 3,618,004 ", - ," 23,790,985,279 "," 363,400,226 "," 5,549,554 "," 110,913,617 "," 101,114,384 "," 17,458,825 "," 18,766,338 "," 7,077,187,845 "," 17,331,000,378 "," 1,106,786,186 "," 5,887,796 "," 1,005,020 "," 574,913 "," 70,893,867 "," 90,755 "," 78,452,351 ", - ," 1,637,455 "," 1,579,364 "," 48,670,093 "," 19,801 "," 972,990,055 "," 3,437,067 "," 976,427,122 ",,,,,
,  550万円  〃　 700万円 〃," 1,402,863 ", 291 ," 1,403,154 ", - ," 11,609,706,261 "," 244,939,418 "," 4,670,222 "," 78,129,176 "," 75,968,702 "," 11,876,059 "," 12,040,081 "," 2,982,809,019 "," 9,054,520,900 "," 576,983,513 "," 2,290,651 "," 741,933 "," 11,615 "," 43,366,962 "," 48,130 "," 46,459,291 ", - ," 1,055,526 "," 1,101,494 "," 19,093,453 "," 3,404 "," 509,193,042 "," 77,303 "," 509,270,345 ",,,,,
,"  700万円  〃 1,000万円 〃"," 1,217,795 ", 198 ," 1,217,993 ", - ," 12,744,720,909 "," 302,856,361 "," 5,781,067 "," 171,982,602 "," 121,400,043 "," 19,446,786 "," 13,531,940 "," 2,676,044,766 "," 10,703,674,942 "," 679,145,878 "," 1,987,256 "," 980,671 "," 6,330 "," 56,197,186 "," 106,474 "," 59,277,917 ", - ," 1,211,754 "," 1,401,403 "," 15,101,332 "," 2,954 "," 602,072,694 "," 77,824 "," 602,150,518 ",,,,,
,"1,000万円  〃 2,000万円 〃"," 946,222 ", 148 ," 946,370 ", - ," 14,943,314,592 "," 474,471,978 "," 10,619,646 "," 367,590,374 "," 165,274,100 "," 35,382,586 "," 17,587,925 "," 2,230,261,597 "," 13,783,979,604 "," 864,885,339 "," 1,524,824 "," 1,253,506 "," 2,800 "," 80,737,129 "," 275,134 "," 83,793,393 ", - ," 1,422,845 "," 2,184,725 "," 8,326,494 "," 2,310 "," 769,047,278 "," 108,294 "," 769,155,572 ",,,,,
,"2,000万円  〃 5,000万円 〃"," 277,541 ", 52 ," 277,593 ", - ," 8,643,431,823 "," 322,739,331 "," 10,157,336 "," 580,245,760 "," 240,725,439 "," 44,731,412 "," 10,116,835 "," 616,533,996 "," 9,235,613,940 "," 562,002,455 "," 104,602 "," 1,442,403 ", 447 ," 52,581,991 "," 291,578 "," 54,421,021 ", - ," 1,453,773 "," 2,277,892 "," 8,071 ", 4 ," 503,772,926 "," 68,772 "," 503,841,698 ",,,,,
,"5,000万円  〃 　　1億円 〃"," 42,640 ", 13 ," 42,653 ", - ," 2,948,550,327 "," 78,728,852 "," 3,730,405 "," 330,023,363 "," 156,910,911 "," 20,070,326 "," 5,320,671 "," 96,912,763 "," 3,446,422,092 "," 204,403,845 ", 457 ," 971,569 ", 60 ," 17,091,432 "," 195,570 "," 18,259,088 ", - ," 691,452 "," 1,057,406 ", - , 1 ," 184,347,168 "," 48,729 "," 184,395,897 ",,,,,
,1億円を超える金額," 14,003 ", 4 ," 14,007 ", - ," 2,995,067,522 "," 78,903,298 "," 4,871,453 "," 888,769,199 "," 672,673,297 "," 37,767,480 "," 7,059,483 "," 32,495,863 "," 4,652,615,869 "," 242,987,651 ", 206 ," 4,290,714 ", - ," 15,080,279 "," 362,971 "," 19,734,170 ", - ," 1,220,607 "," 1,127,850 ", - , - ," 220,842,401 "," 62,625 "," 220,905,026 ",,,,,
,合　　　計," 54,867,434 "," 2,284,400 "," 57,151,834 "," 10,329 "," 213,382,016,112 "," 5,788,198,559 "," 83,382,980 "," 3,028,334,720 "," 2,081,865,242 "," 259,573,885 "," 196,014,537 "," 73,325,353,120 "," 151,494,032,915 "," 9,440,751,959 "," 116,642,109 "," 14,035,467 "," 115,697,373 "," 508,242,984 "," 1,798,127 "," 756,416,060 "," 123,681 "," 15,204,501 "," 16,774,589 "," 554,674,356 "," 967,373 "," 7,948,098,554 "," 148,492,852 "," 8,096,591,406 ",,,,,
