第11表　課税標準額段階別令和６年度分所得割額等に関する調（合計）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) 内訳表 その２（調査表第58表、第59表）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,区　分,課　　　　　　　　　　税　　　　　　　　　　標　　　　　　　　　　準　　　　　　　　　　額,,,,,,,,,,,,,,,,算　　　　　　　　　　出　　　　　　　　　　税　　　　　　　　　　額,,,,,,,,,,,,,,"平均
税率
(B)/(A)"
,,"総所得金額
に係るもの","山林所得金額
に係るもの","退職所得金額
に係るもの","小　　計

(A)",分離長期譲渡所得金額に係るもの,,,,分離短期譲渡所得金額に係るもの,,,一般株式等に係る譲渡所得等の金額に係るもの,上場株式等に係る譲渡所得等の金額に係るもの,"上場株式等に
係る配当所得等の
金額に係るもの","先物取引に係る雑所得等の金額
に係るもの",計,総所得金額，山林所得金額及び退職所得金額分に係る分(B),"(B)について
標準税率で
算出したもの
(超過税率課
税分等を除い
た額)(B)’",分離長期譲渡所得金額に係る分,,,,分離短期譲渡所得金額に係る分,,,一般株式等に係る譲渡所得等分,上場株式等に係る譲渡所得等分,"上場株式等の
配当所得等分","先物取引
に係る
雑所得等分","算出税額
計",
,,,,,,"一般の譲渡
に係るもの","優良住宅地
としての
譲渡に
係るもの","居住用財産
の譲渡に
係るもの",計,"一般の譲渡
に係るもの","国・地方公共
団体等に対する譲渡に係るもの",計,,,,,,,,"一般の譲渡
に係る分","優良住宅地
としての
譲渡に係る分","居住用財産の
譲渡に係る分",計,"一般の譲渡
に係る分","国，地方公共
団体等に
対する譲渡
に係る分",計,,,,,,
課税標準額の段階,,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,％
市　　　町　　　村　　　民　　　税,   10万円以下の金額," 715,003 ", 505 , - ," 715,508 "," 1,348,923,603 "," 39,597,216 "," 113,157,184 "," 1,501,678,003 "," 13,322,418 "," 244,125 "," 13,566,543 "," 124,966,080 "," 127,421,995 "," 11,659,229 "," 38,400,478 "," 1,818,407,836 "," 51,981 "," 52,015 "," 43,970,539 "," 1,142,715 "," 3,187,851 "," 48,301,105 "," 791,156 "," 8,687 "," 799,843 "," 4,046,605 "," 4,168,823 "," 395,610 "," 1,247,151 "," 59,011,118 ",7.3 
,   10万円を超え 100万円以下," 10,015,139,728 "," 372,794 "," 3,424 "," 10,015,515,946 "," 733,943,268 "," 22,348,904 "," 59,780,216 "," 816,072,388 "," 6,172,532 "," 283,682 "," 6,456,214 "," 75,192,344 "," 92,435,890 "," 15,736,283 "," 17,273,988 "," 11,038,683,053 "," 641,850,916 "," 642,358,678 "," 23,851,215 "," 641,965 "," 1,673,752 "," 26,166,932 "," 369,064 "," 8,536 "," 377,600 "," 2,489,188 "," 3,023,009 "," 525,282 "," 561,174 "," 674,994,101 ", 6.4 
,  100万円  〃　 200万円 〃," 24,848,082,346 "," 659,485 "," 13,497 "," 24,848,755,328 "," 636,316,769 "," 21,558,524 "," 48,500,650 "," 706,375,943 "," 6,152,585 "," 28,699 "," 6,181,284 "," 89,283,146 "," 115,431,432 "," 17,187,491 "," 19,282,493 "," 25,802,497,117 "," 1,598,987,395 "," 1,600,364,336 "," 20,683,433 "," 621,740 "," 1,339,357 "," 22,644,530 "," 354,441 ", 885 ," 355,326 "," 2,889,511 "," 3,801,826 "," 562,149 "," 626,171 "," 1,629,866,908 ", 6.4 
,  200万円  〃　 300万円 〃," 24,932,186,777 "," 647,692 "," 8,131 "," 24,932,842,600 "," 442,636,968 "," 13,442,345 "," 27,036,790 "," 483,116,103 "," 5,231,585 "," 63,863 "," 5,295,448 "," 93,882,736 "," 112,299,184 "," 13,966,103 "," 18,253,287 "," 25,659,655,461 "," 1,609,681,386 "," 1,611,232,821 "," 14,417,610 "," 391,392 "," 758,358 "," 15,567,360 "," 307,552 "," 1,969 "," 309,521 "," 3,059,123 "," 3,617,719 "," 457,981 "," 589,331 "," 1,633,282,421 ", 6.5 
,  300万円  〃　 400万円 〃," 18,362,782,565 "," 494,038 "," 3,950 "," 18,363,280,553 "," 334,009,559 "," 12,513,238 "," 15,214,806 "," 361,737,603 "," 5,047,571 "," 146,458 "," 5,194,029 "," 114,991,615 "," 93,599,810 "," 13,215,467 "," 14,942,651 "," 18,966,961,728 "," 1,186,451,384 "," 1,187,607,848 "," 10,936,894 "," 365,266 "," 434,053 "," 11,736,213 "," 296,483 "," 4,394 "," 300,877 "," 3,940,144 "," 3,062,384 "," 430,870 "," 480,672 "," 1,206,402,544 ", 6.5 
,  400万円  〃　 550万円 〃," 16,713,573,676 "," 588,974 "," 6,210 "," 16,714,168,860 "," 338,163,141 "," 12,354,324 "," 12,675,823 "," 363,193,288 "," 5,530,325 "," 18,644 "," 5,548,969 "," 110,911,887 "," 101,041,576 "," 17,419,054 "," 18,716,745 "," 17,331,000,379 "," 1,086,601,919 "," 1,087,808,559 "," 11,015,714 "," 364,906 "," 352,108 "," 11,732,728 "," 329,673 ", 560 ," 330,233 "," 3,628,362 "," 3,317,039 "," 567,793 "," 608,112 "," 1,106,786,186 ", 6.5 
,  550万円  〃　 700万円 〃," 8,626,608,395 "," 388,363 "," 25,178 "," 8,627,021,936 "," 227,709,881 "," 8,680,859 "," 8,542,613 "," 244,933,353 "," 4,649,457 "," 20,435 "," 4,669,892 "," 78,128,078 "," 75,931,691 "," 11,843,368 "," 11,992,583 "," 9,054,520,901 "," 563,041,895 "," 563,699,306 "," 7,403,467 "," 260,846 "," 241,324 "," 7,905,637 "," 268,976 ", 604 ," 269,580 "," 2,514,851 "," 2,465,822 "," 389,081 "," 396,647 "," 576,983,513 ", 6.5 
